#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.652343124968372479e+01-0.000000000000000000e+00j)
 (1.003237196701591951e+06+0.000000000000000000e+00j)  (1.612762565575763318e+01-3.062853629478332174e+00j)
 (2.006474393403183902e+06+0.000000000000000000e+00j)  (1.495775533168432858e+01-5.959559490438198992e+00j)
 (3.009711590104775969e+06+0.000000000000000000e+00j)  (1.306568912570995877e+01-8.531287136128858251e+00j)
 (4.012948786806367803e+06+0.000000000000000000e+00j)  (1.053534043612023297e+01-1.063351999563037431e+01j)
 (5.016185983507960103e+06+0.000000000000000000e+00j)  (7.478981783309264664e+00-1.214242442178448300e+01j)
 (6.019423180209551938e+06+0.000000000000000000e+00j)  (4.032313158715779444e+00-1.296031194054944002e+01j)
 (7.022660376911143772e+06+0.000000000000000000e+00j)  (3.485000992576092749e-01-1.301995507359291970e+01j)
 (8.025897573612735607e+06+0.000000000000000000e+00j)  (-3.408557417578943927e+00-1.228756725643192738e+01j)
 (9.029134770314328372e+06+0.000000000000000000e+00j)  (-7.071430428341102470e+00-1.076431582103848328e+01j)
 (1.003237196701592021e+07+0.000000000000000000e+00j)  (-1.047652511196768188e+01-8.486301201861776278e+00j)
 (1.103560916371751204e+07+0.000000000000000000e+00j)  (-1.347128287157473814e+01-5.523002653729283118e+00j)
 (1.203884636041910388e+07+0.000000000000000000e+00j)  (-1.592090071802061857e+01-1.974257906198858326e+00j)
 (1.304208355712069571e+07+0.000000000000000000e+00j)  (-1.771427718034463084e+01+2.034091612240454428e+00j)
 (1.404532075382228754e+07+0.000000000000000000e+00j)  (-1.876892274493509305e+01+6.355699872032285036e+00j)
 (1.504855795052387938e+07+0.000000000000000000e+00j)  (-1.903461903043654146e+01+1.083011937116341450e+01j)
 (1.605179514722547121e+07+0.000000000000000000e+00j)  (-1.849566556779569737e+01+1.528982830754410216e+01j)
 (1.705503234392706305e+07+0.000000000000000000e+00j)  (-1.717161478962230348e+01+1.956757433906001253e+01j)
 (1.805826954062865674e+07+0.000000000000000000e+00j)  (-1.511646194558184320e+01+2.350371343838078175e+01j)
 (1.906150673733024672e+07+0.000000000000000000e+00j)  (-1.241632426390138910e+01+2.695322236483941936e+01j)
 (2.006474393403184041e+07+0.000000000000000000e+00j)  (-9.185709819897178718e+00+2.979207734940325025e+01j)
 (2.106798113073343039e+07+0.000000000000000000e+00j)  (-5.562538359775385466e+00+3.192271911349654445e+01j)
 (2.207121832743502408e+07+0.000000000000000000e+00j)  (-1.702131059469147445e+00+3.327836412310628589e+01j)
 (2.307445552413661405e+07+0.000000000000000000e+00j)  (2.229568521785220359e+00+3.382597228528639732e+01j)
 (2.407769272083820775e+07+0.000000000000000000e+00j)  (6.063246189484869042e+00+3.356773993338698148e+01j)
 (2.508092991753979772e+07+0.000000000000000000e+00j)  (9.633624538199343945e+00+3.254105136337253157e+01j)
 (2.608416711424139142e+07+0.000000000000000000e+00j)  (1.278670195051549818e+01+3.081688956589920991e+01j)
 (2.708740431094298139e+07+0.000000000000000000e+00j)  (1.538650615686666079e+01+2.849677420544133710e+01j)
 (2.809064150764457509e+07+0.000000000000000000e+00j)  (1.732106629570395384e+01+2.570835938364866280e+01j)
 (2.909387870434616506e+07+0.000000000000000000e+00j)  (1.850734132710023871e+01+2.259988246962162961e+01j)
 (3.009711590104775876e+07+0.000000000000000000e+00j)  (1.889488805565803986e+01+1.933370571379141722e+01j)
 (3.110035309774934873e+07+0.000000000000000000e+00j)  (1.846810693644254897e+01+1.607923227434280022e+01j)
 (3.210359029445094243e+07+0.000000000000000000e+00j)  (1.724696587948747606e+01+1.300550592299791042e+01j)
 (3.310682749115253612e+07+0.000000000000000000e+00j)  (1.528616873010663291e+01+1.027381784229475592e+01j)
 (3.411006468785412610e+07+0.000000000000000000e+00j)  (1.267280308438790293e+01+8.030643949093255074e+00j)
 (3.511330188455571979e+07+0.000000000000000000e+00j)  (9.522568633499187030e+00+6.401222064784723109e+00j)
 (3.611653908125731349e+07+0.000000000000000000e+00j)  (5.974749408961437247e+00+5.484050604610954061e+00j)
 (3.711977627795889974e+07+0.000000000000000000e+00j)  (2.186148403437863319e+00+5.346550471074228206e+00j)
 (3.812301347466049343e+07+0.000000000000000000e+00j)  (-1.675751346244442885e+00+6.022081243945164530e+00j)
 (3.912625067136208713e+07+0.000000000000000000e+00j)  (-5.440101007360066632e+00+7.508443760853499960e+00j)
 (4.012948786806368083e+07+0.000000000000000000e+00j)  (-8.940156199487729438e+00+9.767936346077357612e+00j)
 (4.113272506476526707e+07+0.000000000000000000e+00j)  (-1.202057671807884098e+01+1.272896409665573003e+01j)
 (4.213596226146686077e+07+0.000000000000000000e+00j)  (-1.454423627682048092e+01+1.628913273455973609e+01j)
 (4.313919945816845447e+07+0.000000000000000000e+00j)  (-1.639824384879852914e+01+2.031969354708695263e+01j)
 (4.414243665487004817e+07+0.000000000000000000e+00j)  (-1.749891228887557659e+01+2.467114670670659038e+01j)
 (4.514567385157163441e+07+0.000000000000000000e+00j)  (-1.779545561379037366e+01+2.917975938008352799e+01j)
 (4.614891104827322811e+07+0.000000000000000000e+00j)  (-1.727225162038542905e+01+3.367471473628248191e+01j)
 (4.715214824497482181e+07+0.000000000000000000e+00j)  (-1.594956903235208401e+01+3.798558001926750194e+01j)
 (4.815538544167641550e+07+0.000000000000000000e+00j)  (-1.388272536074543773e+01+4.194976749566021823e+01j)
 (4.915862263837800920e+07+0.000000000000000000e+00j)  (-1.115971022292218784e+01+4.541966196946471257e+01j)
 (5.016185983507959545e+07+0.000000000000000000e+00j)  (-7.897375996174945456e+00+4.826910269469577486e+01j)
 (5.116509703178118914e+07+0.000000000000000000e+00j)  (-4.236360452333669535e+00+5.039893531577939001e+01j)
 (5.216833422848278284e+07+0.000000000000000000e+00j)  (-3.349616806907604882e-01+5.174138972839444506e+01j)
 (5.317157142518437654e+07+0.000000000000000000e+00j)  (3.637768281864245612e+00+5.226309073860340249e+01j)
 (5.417480862188596278e+07+0.000000000000000000e+00j)  (7.509410159747278435e+00+5.196656789377632890e+01j)
 (5.517804581858755648e+07+0.000000000000000000e+00j)  (1.111172209924383480e+01+5.089019627850721861e+01j)
 (5.618128301528915018e+07+0.000000000000000000e+00j)  (1.428801251581731613e+01+4.910656856377644885e+01j)
 (5.718452021199074388e+07+0.000000000000000000e+00j)  (1.690001838444244697e+01+4.671936718104731767e+01j)
 (5.818775740869233012e+07+0.000000000000000000e+00j)  (1.883398736381352734e+01+4.385887116960789456e+01j)
 (5.919099460539392382e+07+0.000000000000000000e+00j)  (2.000569649137353778e+01+4.067629214253878445e+01j)
 (6.019423180209551752e+07+0.000000000000000000e+00j)  (2.036418626385087549e+01+3.733718530944574354e+01j)
 (6.119746899879711121e+07+0.000000000000000000e+00j)  (1.989404473312457711e+01+3.401422232059508843e+01j)
 (6.220070619549869746e+07+0.000000000000000000e+00j)  (1.861613937739550195e+01+3.087964105749702171e+01j)
 (6.320394339220029116e+07+0.000000000000000000e+00j)  (1.658676220730760065e+01+2.809770213074713396e+01j)
 (6.420718058890188485e+07+0.000000000000000000e+00j)  (1.389522288648563375e+01+2.581748209561056129e+01j)
 (6.521041778560347855e+07+0.000000000000000000e+00j)  (1.065999256105210335e+01+2.416631922483928463e+01j)
 (6.621365498230507225e+07+0.000000000000000000e+00j)  (7.023564634507816429e+00+2.324419968140178128e+01j)
 (6.721689217900666595e+07+0.000000000000000000e+00j)  (3.146255110284595702e+00+2.311933131052972001e+01j)
 (6.822012937570825219e+07+0.000000000000000000e+00j)  (-8.007881206889453374e-01+2.382510077330126919e+01j)
 (6.922336657240983844e+07+0.000000000000000000e+00j)  (-4.643062604780960001e+00+2.535854960312158468e+01j)
 (7.022660376911143959e+07+0.000000000000000000e+00j)  (-8.210348996828722434e+00+2.768043859337397805e+01j)
 (7.122984096581302583e+07+0.000000000000000000e+00j)  (-1.134417520719540917e+01+3.071690059859948718e+01j)
 (7.223307816251462698e+07+0.000000000000000000e+00j)  (-1.390478012653106710e+01+3.436261237502215948e+01j)
 (7.323631535921621323e+07+0.000000000000000000e+00j)  (-1.577727130152940305e+01+3.848534953249813384e+01j)
 (7.423955255591779947e+07+0.000000000000000000e+00j)  (-1.687670560323273961e+01+4.293172793135147458e+01j)
 (7.524278975261940062e+07+0.000000000000000000e+00j)  (-1.715186850561712717e+01+4.753388259800747306e+01j)
 (7.624602694932098687e+07+0.000000000000000000e+00j)  (-1.658758406477958758e+01+5.211679375171879514e+01j)
 (7.724926414602257311e+07+0.000000000000000000e+00j)  (-1.520545161065662398e+01+5.650594066381459868e+01j)
 (7.825250134272417426e+07+0.000000000000000000e+00j)  (-1.306297375648196279e+01+6.053494909667691815e+01j)
 (7.925573853942576051e+07+0.000000000000000000e+00j)  (-1.025111060937075891e+01+6.405289767386896926e+01j)
 (8.025897573612736166e+07+0.000000000000000000e+00j)  (-6.890363962184228974e+00+6.693096276226931707e+01j)
 (8.126221293282894790e+07+0.000000000000000000e+00j)  (-3.125559749953266131e+00+6.906810971011640277e+01j)
 (8.226545012953053415e+07+0.000000000000000000e+00j)  (8.804456630044139587e-01+7.039557937611937177e+01j)
 (8.326868732623213530e+07+0.000000000000000000e+00j)  (4.953862253866314624e+00+7.087997103629187734e+01j)
 (8.427192452293372154e+07+0.000000000000000000e+00j)  (8.917557348419830276e+00+7.052478371241726052e+01j)
 (8.527516171963532269e+07+0.000000000000000000e+00j)  (1.259880975325055985e+01+6.937034508532525479e+01j)
 (8.627839891633690894e+07+0.000000000000000000e+00j)  (1.583688803542134060e+01+6.749212751900812179e+01j)
 (8.728163611303849518e+07+0.000000000000000000e+00j)  (1.849012090454693080e+01+6.499752126159022225e+01j)
 (8.828487330974009633e+07+0.000000000000000000e+00j)  (2.044214911369075693e+01+6.202120252534465550e+01j)
 (8.928811050644168258e+07+0.000000000000000000e+00j)  (2.160708338140501539e+01+5.871929591922184954e+01j)
 (9.029134770314326882e+07+0.000000000000000000e+00j)  (2.193334004600619380e+01+5.526258390196237258e+01j)
 (9.129458489984486997e+07+0.000000000000000000e+00j)  (2.140598346064038893e+01+5.182905819823209725e+01j)
 (9.229782209654645622e+07+0.000000000000000000e+00j)  (2.004746904450260558e+01+4.859613760209462185e+01j)
 (9.330105929324805737e+07+0.000000000000000000e+00j)  (1.791675060436449840e+01+4.573289196332005702e+01j)
