#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-3.519702952485924463e+00+0.000000000000000000e+00j)
 (1.003237196701591951e+06+0.000000000000000000e+00j)  (-3.264253645339873167e+00+1.603354599962803384e+00j)
 (2.006474393403183902e+06+0.000000000000000000e+00j)  (-2.585593845328467921e+00+2.926312119732123573e+00j)
 (3.009711590104775969e+06+0.000000000000000000e+00j)  (-1.714665513510724271e+00+3.789359646302490336e+00j)
 (4.012948786806367803e+06+0.000000000000000000e+00j)  (-9.411892547479221438e-01+4.177539627493974450e+00j)
 (5.016185983507960103e+06+0.000000000000000000e+00j)  (-5.080992229585449271e-01+4.243493717056006531e+00j)
 (6.019423180209551938e+06+0.000000000000000000e+00j)  (-5.239205540583905529e-01+4.248939983470110704e+00j)
 (7.022660376911143772e+06+0.000000000000000000e+00j)  (-9.254083593156535725e-01+4.466452440656888179e+00j)
 (8.025897573612735607e+06+0.000000000000000000e+00j)  (-1.504066735622053619e+00+5.078085627084519160e+00j)
 (9.029134770314328372e+06+0.000000000000000000e+00j)  (-1.986426529627907112e+00+6.108478581441525002e+00j)
 (1.003237196701592021e+07+0.000000000000000000e+00j)  (-2.138003417435934139e+00+7.417179089479922105e+00j)
 (1.103560916371751204e+07+0.000000000000000000e+00j)  (-1.852102174720512417e+00+8.752845030324072795e+00j)
 (1.203884636041910388e+07+0.000000000000000000e+00j)  (-1.190336650893969894e+00+9.848919161262122302e+00j)
 (1.304208355712069571e+07+0.000000000000000000e+00j)  (-3.597793767038464097e-01+1.052491988862624694e+01j)
 (1.404532075382228754e+07+0.000000000000000000e+00j)  (3.646734635858611684e-01+1.075540370020941872e+01j)
 (1.504855795052387938e+07+0.000000000000000000e+00j)  (7.436536444794289435e-01+1.068072491819377667e+01j)
 (1.605179514722547121e+07+0.000000000000000000e+00j)  (6.636701044880373157e-01+1.055546241437846433e+01j)
 (1.705503234392706305e+07+0.000000000000000000e+00j)  (1.805359318500184551e-01+1.065370422233098857e+01j)
 (1.805826954062865674e+07+0.000000000000000000e+00j)  (-5.005591678328135119e-01+1.116657730089556111e+01j)
 (1.906150673733024672e+07+0.000000000000000000e+00j)  (-1.101086978894855406e+00+1.213041503804186227e+01j)
 (2.006474393403184041e+07+0.000000000000000000e+00j)  (-1.373048300651680931e+00+1.341260911576584292e+01j)
 (2.106798113073343039e+07+0.000000000000000000e+00j)  (-1.191861187468965744e+00+1.476068907570365063e+01j)
 (2.207121832743502408e+07+0.000000000000000000e+00j)  (-6.034166198817003668e-01+1.589651465394769048e+01j)
